movie_id,title,genre,year,rating,director,cast,description
1,Movie 1,Adventure,2011,8.9,Director 46,"Actor 27, Actor 155",This is a sample description for Movie 1. It is a war film.
2,Movie 2,War,1996,6.3,Director 26,"Actor 32, Actor 182",This is a sample description for Movie 2. It is a fantasy film.
3,Movie 3,Romance,2011,8.7,Director 46,"Actor 16, Actor 125",This is a sample description for Movie 3. It is a western film.
4,Movie 4,Action,1991,3.6,Director 5,"Actor 53, Actor 172",This is a sample description for Movie 4. It is a crime film.
5,Movie 5,Animation,1992,8.7,Director 15,"Actor 78, Actor 193",This is a sample description for Movie 5. It is a horror film.
6,Movie 6,Mystery,2003,5.3,Director 27,"Actor 50, Actor 151",This is a sample description for Movie 6. It is a romance film.
7,Movie 7,Sci-Fi,2004,2.8,Director 39,"Actor 14, Actor 145",This is a sample description for Movie 7. It is a animation film.
8,Movie 8,Fantasy,2003,2.8,Director 29,"Actor 83, Actor 152",This is a sample description for Movie 8. It is a fantasy film.
9,Movie 9,Animation,1994,3.5,Director 8,"Actor 1, Actor 127",This is a sample description for Movie 9. It is a fantasy film.
10,Movie 10,Adventure,1996,2.8,Director 44,"Actor 92, Actor 175",This is a sample description for Movie 10. It is a animation film.
11,Movie 11,Animation,2004,1.5,Director 7,"Actor 21, Actor 160",This is a sample description for Movie 11. It is a thriller film.
12,Movie 12,Western,2003,2.5,Director 41,"Actor 14, Actor 140",This is a sample description for Movie 12. It is a drama film.
13,Movie 13,Thriller,2016,3.4,Director 9,"Actor 48, Actor 174",This is a sample description for Movie 13. It is a crime film.
14,Movie 14,Thriller,2019,2.9,Director 31,"Actor 84, Actor 167",This is a sample description for Movie 14. It is a fantasy film.
15,Movie 15,War,2016,6.0,Director 23,"Actor 12, Actor 179",This is a sample description for Movie 15. It is a documentary film.
16,Movie 16,Horror,2016,1.4,Director 12,"Actor 88, Actor 166",This is a sample description for Movie 16. It is a action film.
17,Movie 17,Adventure,2009,2.8,Director 41,"Actor 67, Actor 111",This is a sample description for Movie 17. It is a fantasy film.
18,Movie 18,Thriller,1993,3.6,Director 14,"Actor 84, Actor 127",This is a sample description for Movie 18. It is a sci-fi film.
19,Movie 19,Sci-Fi,2024,7.0,Director 14,"Actor 16, Actor 158",This is a sample description for Movie 19. It is a documentary film.
20,Movie 20,Comedy,1990,8.8,Director 44,"Actor 27, Actor 186",This is a sample description for Movie 20. It is a comedy film.
